Nome,Streaming,Url
Vinland Saga,"netflix,primevideo,crunchyroll","http://www.netflix.com/title/81249833,https://app.primevideo.com/detail?gti=amzn1.dv.gti.acb5e20f-5e4a-e434-cfc8-a1391d0b9516,https://www.crunchyroll.com/pt-br/series/GEXH3WKK0/vinland-saga"
Vinland Saga Season 2,"netflix,crunchyroll","http://www.netflix.com/title/81249833,https://www.crunchyroll.com/pt-br/series/GEXH3WKK0/vinland-saga"
Pokémon,netflix,http://www.netflix.com/title/70297439
Pokémon: The Arceus Chronicles,netflix,https://www.netflix.com/title/81605060
Death Note,"netflix,max,crunchyroll","http://www.netflix.com/title/70204970,https://play.max.com/show/fabd8a3d-dd29-4f94-bc46-55941b14eacf,https://www.crunchyroll.com/pt-br/series/G6QWD3EE6/death-note"
Naruto,"netflix,max,crunchyroll,primevideo","http://www.netflix.com/title/70205012,https://play.max.com/show/c7be0dd7-85db-42f9-a6e2-7fb3df382352,https://www.crunchyroll.com/pt-br/series/GY9PJ5KWR/naruto,https://www.primevideo.com/-/pt/detail/0MU0NOEZHYNIYT5936RRNMF2ES"
Naruto the Movie: Ninja Clash in the Land of Snow,"netflix,primevideo","https://www.netflix.com/title/70074559,https://www.primevideo.com/-/pt/detail/0FRYYEYM96SL6QZRX2OGYJVW4I"
Naruto the Movie: Legend of the Stone of Gelel,"netflix,primevideo","https://www.netflix.com/title/70101321,https://www.primevideo.com/-/pt/detail/0O52WFQM0S2A706C5WVHBC7KCZ"
Naruto the Movie: Guardians of the Crescent Moon Kingdom,"netflix,primevideo","https://www.netflix.com/title/70108386,https://www.primevideo.com/-/pt/detail/0RL6LB8V5HBZ0Z9L6E8M04T83L"
One Punch Man,netflix,http://www.netflix.com/title/80117291
One-Punch Man Season 2,netflix,http://www.netflix.com/title/80117291
Spirited Away,netflix,http://www.netflix.com/title/60023642
Monster,netflix,http://www.netflix.com/title/81409869
Cyberpunk: Edgerunners,netflix,http://www.netflix.com/title/81054853
Cowboy Bebop,"netflix,crunchyroll","http://www.netflix.com/title/80001305,https://www.crunchyroll.com/pt-br/series/GYVNXMVP6/cowboy-bebop"
Record of Ragnarok,netflix,http://www.netflix.com/title/81281579
Record of Ragnarok II,netflix,http://www.netflix.com/title/81281579
Berserk,netflix,http://www.netflix.com/title/80243876
Boruto: Naruto Next Generations,"netflix,max,crunchyroll","http://www.netflix.com/title/81080523,https://play.max.com/show/865e96ad-64cf-4687-a8c8-186baed07129"
JoJo's Bizarre Adventure (TV),"netflix,crunchyroll","http://www.netflix.com/title/80179831,https://www.crunchyroll.com/pt-br/series/GYP8DP1MY/jojos-bizarre-adventure"
JoJo's Bizarre Adventure: Stardust Crusaders,"netflix,crunchyroll","http://www.netflix.com/title/80179831,https://www.crunchyroll.com/pt-br/series/GYP8DP1MY/jojos-bizarre-adventure"
JoJo's Bizarre Adventure: Stardust Crusaders - Battle in Egypt,"netflix,crunchyroll","http://www.netflix.com/title/80179831,https://www.crunchyroll.com/pt-br/series/GYP8DP1MY/jojos-bizarre-adventure"
JoJo's Bizarre Adventure: Diamond is Unbreakable,"netflix,crunchyroll","http://www.netflix.com/title/80179831,https://www.crunchyroll.com/pt-br/series/GYP8DP1MY/jojos-bizarre-adventure"
JoJo's Bizarre Adventure: STONE OCEAN,netflix,http://www.netflix.com/title/80179831
Uncle from Another World,netflix,http://www.netflix.com/title/81499847
Inuyasha,"netflix,primevideo","http://www.netflix.com/title/70204995,https://app.primevideo.com/detail?gti=amzn1.dv.gti.1ab54f33-a32f-ffd9-b7eb-81563715fdf7"
My Neighbor Totoro,netflix,http://www.netflix.com/title/60032294
Junji Ito Maniac: Japanese Tales of the Macabre,netflix,http://www.netflix.com/title/81295011
MAKE MY DAY,netflix,http://www.netflix.com/title/81176967
Neon Genesis Evangelion,netflix,http://www.netflix.com/title/81033445
Neon Genesis Evangelion: The End of Evangelion,netflix,https://www.netflix.com/title/60024788
Neon Genesis Evangelion: Death & Rebirth,netflix,https://www.netflix.com/title/81033473
Sword Art Online: Alicization,crunchyroll,https://www.crunchyroll.com/pt-br/series/GR49G9VP6/sword-art-online
Sword Art Online: Alicization - War of Underworld,crunchyroll,https://www.crunchyroll.com/pt-br/series/GR49G9VP6/sword-art-online
Sword Art Online: Alicization - War of Underworld Part 2,crunchyroll,https://www.crunchyroll.com/pt-br/series/GR49G9VP6/sword-art-online
Hajime no Ippo The Fighting,netflix,http://www.netflix.com/title/80995578
Howl‘s Moving Castle,netflix,http://www.netflix.com/title/70028883
Princess Mononoke,netflix,http://www.netflix.com/title/28630857
Mononoke,netflix,http://www.netflix.com/title/80169676
Yu-Gi-Oh!,"netflix,crunchyroll","http://www.netflix.com/title/70177034,https://www.crunchyroll.com/pt-br/series/G6P8DV7V6/yu-gi-oh"
Aggretsuko,netflix,http://www.netflix.com/title/80198505
Aggretsuko: Season 2,netflix,http://www.netflix.com/title/80198505
Aggretsuko: Season 3,netflix,http://www.netflix.com/title/80198505
Aggretsuko: Season 4,netflix,http://www.netflix.com/title/80198505
Aggretsuko: Season 5,netflix,http://www.netflix.com/title/80198505
exception,netflix,http://www.netflix.com/title/81002444
Detective Conan: The Culprit Hanzawa,netflix,http://www.netflix.com/title/81313291
Ghost in the Shell,"netflix,primevideo",https://app.primevideo.com/detail?gti=amzn1.dv.gti.84b655c6-ab62-2826-7812-4b6911f08282
Tekken: Bloodline,netflix,http://www.netflix.com/title/81002441
The Way of the Househusband,netflix,http://www.netflix.com/title/81261669
The Way of the Househusband Part 2,netflix,http://www.netflix.com/title/81261669
The Way of the Househusband: Season 2,netflix,http://www.netflix.com/title/81261670
The Promised Neverland,crunchyroll,https://www.crunchyroll.com/pt-br/series/GYVD2K1WY/the-promised-neverland
Knights of the Zodiac: Saint Seiya,netflix,http://www.netflix.com/title/80186926
Knights of the Zodiac: Saint Seiya Part 2,netflix,http://www.netflix.com/title/80186926
Sonic X,"netflix,primevideo","http://www.netflix.com/title/81172267,https://app.primevideo.com/detail?gti=amzn1.dv.gti.48b79238-1dda-6ff3-f15e-ddbbc7632433"
Sonic X: The Metarex Saga,"netflix,primevideo",https://www.primevideo.com/detail/0NLSA14C7AIXS771O65RZM8NIV
The Seven Deadly Sins,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Signs of A Holy War,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Revival of the Commandments,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Imperial Wrath of the Gods,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Dragon's Judgement,netflix,http://www.netflix.com/title/80050063
The Seven Deadly Sins: Cursed by Light,netflix,https://www.netflix.com/title/81263946
Violet Evergarden,netflix,http://www.netflix.com/title/80182123
Violet Evergarden: Eternity and the Auto Memory Doll,netflix,http://www.netflix.com/title/81208936
Violet Evergarden: the Movie,netflix,http://www.netflix.com/title/81193214
Violet Evergarden: Special,netflix,http://www.netflix.com/title/81010662
Rascal Does Not Dream of Bunny Girl Senpai,"netflix,crunchyroll","http://www.netflix.com/title/81228009,https://www.crunchyroll.com/pt-br/series/GYW4MG9G6/rascal-does-not-dream-of-bunny-girl-senpai"
Drifting Home,netflix,http://www.netflix.com/title/81328781
Case Closed: Zero's Tea Time,netflix,http://www.netflix.com/title/81313289
Devilman Crybaby,netflix,http://www.netflix.com/title/80174974
Nausicaä of the Valley of the Wind,netflix,http://www.netflix.com/title/70019062
The Wind Rises,netflix,http://www.netflix.com/title/70293674
Blue Exorcist: Kyoto Saga,crunchyroll,https://www.crunchyroll.com/pt-br/series/G649PJ0JY/blue-exorcist
Neon Genesis Evangelion: The End of Evangelion,netflix,http://www.netflix.com/title/60024788
Ponyo,netflix,http://www.netflix.com/title/70106454
Pokémon Journeys: The Series,netflix,"http://www.netflix.com/title/81291575,http://www.netflix.com/title/81193140,https://www.netflix.com/title/81291578"
Pokémon: To Be a Pokémon Master,netflix,https://www.netflix.com/watch/81714314
The Daily Life of the Immortal King,"netflix,crunchyroll","http://www.netflix.com/title/81364944,https://www.crunchyroll.com/pt-br/series/GZJH3DJ8E/the-daily-life-of-the-immortal-king"
"BASTARD!! -Heavy Metal, Dark Fantasy-",netflix,http://www.netflix.com/title/81281582
"BASTARD!! -Heavy Metal, Dark Fantasy- Hell’s Requiem Arc",netflix,http://www.netflix.com/title/81281582
AJIN: Demi-Human,netflix,http://www.netflix.com/title/80043576
AJIN: Demi-Human 2,netflix,http://www.netflix.com/title/80043576
Kuroko's Basketball,netflix,http://www.netflix.com/title/80063153
Kuroko's Basketball 2,netflix,http://www.netflix.com/title/80063153
Kuroko's Basketball 3,netflix,http://www.netflix.com/title/80063153
Komi Can’t Communicate,netflix,http://www.netflix.com/title/81228573
Komi Can't Communicate Part 2,netflix,http://www.netflix.com/title/81228573
KENGAN ASHURA Part I,netflix,http://www.netflix.com/title/80992228
KENGAN ASHURA Part II,netflix,http://www.netflix.com/title/80992228
KENGAN ASHURA Season 2,netflix,http://www.netflix.com/title/80992228
Bubble,netflix,http://www.netflix.com/title/81345945
BAKI,netflix,http://www.netflix.com/title/80204451
Baki: The Great Raitai Tournament Saga,netflix,http://www.netflix.com/title/80204451
Great Pretender,netflix,http://www.netflix.com/title/81220435
BELLE,netflix,http://www.netflix.com/title/81492822
Den-noh Coil,netflix,http://www.netflix.com/title/81299264
